NO_GYOUMU,CODE_TENKEN_SHOKEN_TEMPLATE,CODE_BUZAI_ZAIRYOU,CODE_DAMAGE_SHURUI,CODE_SHINDAN,SHOKEN
1,1,1,1,3,鋼部材腐食テンプレートテストⅢ
1,2,1,1,1,浜松市（はままつし）は、静岡県西部、遠州地方に位置する市。政令指定都市と国際会議観光都市に指定されている。
1,3,1,1,2,中部地方では名古屋市に次ぎ、静岡県および三遠南信最大の人口を誇る都市である。
1,4,1,1,4,ホンダの発祥地でありスズキが本社を構えるなど東海地方でも有数の自動車工業都市であり、県庁所在地以外の市で4番目の人口（川崎市、北九州市、堺市に次ぐ）を有する。
1,5,2,2,1,平成の大合併以前の旧浜松市の人口は約61万人、人口密度2368人/?であり、旧浜北市との小規模合併のみで政令市移行の基準を満たしていたが、財政が逼迫した北遠自治体等との大規模救済合併により静岡県では静岡市に次ぎ2番目の政令指定都市に移行した。
1,6,2,2,2,ピーク時には81万人であったが、現在は80万人を割り込み79万人と減少傾向が続いている。
1,7,2,2,4,全国の市町村で2番目の面積で7つの行政区を持ち、面積の約6割を天竜区が、人口の97％以上を天竜区を除いた6区が占めている。
1,8,99,1,4,遠州地域における経済・文化・観光の中心となっており、同市を中心とする浜松都市圏は都道府県庁所在地以外の都市圏で2番目の人口を有する。
1,9,99,2,3,遠州地域における経済・文化・観光の中心となっており、同市を中心とする浜松都市圏は都道府県庁所在地以外の都市圏で2番目の人口を有する。
1,10,99,3,2,静岡市とともに全国5位の規模を有する静岡・浜松大都市圏の中心都市として機能している。
1,11,99,4,1,test
