BRIDGE_ID,GAZOU_ID,NO_SHASHIN,NAME_BUZAI,NO_BUZAI,DAMAGE_SHURUI,KEIKAN,SHINDAN_TENKEN,BIKOU,HOUSHIN_CHOUSA,HOUSHIN_SOCHI,NAME_FILE
BR0-221309-00514,1,,,,,,,,,,image1.jpg
BR0-221309-00959,1,,上部構造（主桁）,,,,2,,,,image2.jpg
BR0-221309-00959,2,,上部構造（床版）,,,,2,,,,image3.jpg
BR0-221309-01149,0,,,,,,,,,,image1.jpg
BR0-221309-01149,1,,上部構造（主桁）,,,,2,,,,image2.jpg
BR0-221309-01149,2,,下部構造,,,,3,,,,image3.jpg
BR0-221309-01149,3,,下部構造,,,,3,,,,image4.jpg
BR0-221309-01149,4,,その他（高欄）,,,,2,,,,image5.jpg
BR0-221309-01175,0,,,,,,,,,,image1.jpg
BR0-221309-01175,1,,上部構造（床版）,,,,3,,,,image2.jpg
BR0-221309-01175,2,,上部構造（主桁）,,,,2,,,,image3.jpg
BR0-221309-01175,3,,下部構造,,,,2,,,,image4.jpg
BR0-221309-01175,4,,その他(高欄の変形・欠損),,,,3,,,,image5.jpg
BR0-221309-01188,0,,,,,,,,,,image1.jpg
BR0-221309-01188,1,,下部構造,,,,2,,,,image2.jpg
BR0-221309-01413,0,,,,,,,,,,image1.jpg
BR0-221309-01478,0,,,,,,,,,,image1.jpg
BR0-221309-01478,1,,下部構造,,,,2,,,,image2.jpg
BR0-221309-02048,0,,,,,,,,,,image1.jpg
BR0-221309-02048,1,,上部構造（主桁）,,,,2,,,,image2.jpg
BR0-221309-02048,2,,上部構造（横桁）,,,,3,,,,image3.jpg
BR0-221309-02048,3,,上部構造（床版）,,,,2,,,,image4.jpg
BR0-221309-02048,4,,支承部,,,,3,,,,image5.jpg
BR0-221309-03023,0,,,,,,,,,,image1.jpg
BR0-221309-03031,0,,,,,,,,,,image1.jpg
BR0-221309-03130,0,,,,,,,,,,image1.jpg
BR0-221309-03130,1,,下部構造,,,,2,,,,image2.jpg
BR0-221309-03130,2,,その他（地覆）,,,,2,,,,image3.jpg
BR0-221309-03139,0,,,,,,,,,,image1.jpg
BR0-221309-03139,1,,上部構造（主桁）,,,,3,,,,image2.jpg
BR0-221309-03139,2,,下部構造,,,,2,,,,image3.jpg
BR0-221309-03145,0,,,,,,,,,,image1.jpg
BR0-221309-03145,1,,下部構造,,,,2,,,,image2.jpg
BR0-221309-03145,2,,支承部,,,,3,,,,image3.jpg
BR0-221309-03617,0,,,,,,,,,,image1.jpg
BR0-221309-03640,0,,,,,,,,,,image1.jpg
BR0-221309-03640,1,,上部構造（主桁）,,,,3,,,,image2.jpg
BR0-221309-03640,2,,上部構造（主桁）,,,,3,,,,image3.jpg
BR0-221309-03902,0,,,,,,,,起点,終点,image001.png
BR0-221309-04069,0,,,,,,,,,,image1.jpg
BR0-221309-04069,1,,上部構造（主桁）,,,,3,,,,image2.jpg
BR0-221309-04367,0,,,,,,,,,,image001.png
BR0-221309-04367,1,,上部構造(主桁･横桁),,,,2,,,,image1.png
BR0-221309-04367,2,,下部構造(A2),,,,3,,,,image2.png
BR0-221309-04367,3,,下部構造(A2),,,,3,,,,image3.png
BR0-221309-04367,4,,下部構造(A2),,,,3,,,,image4.png
BR0-221309-04367,5,,下部構造(A2),,,,3,,,,image5.png
BR0-221309-04367,6,,下部構造(A1),,,,3,,,,image6.png
BR0-221309-04367,7,,その他(河床),,,,1,,,,image7.png
BR0-221309-04411,0,,,,,,,,起点,終点,image001.png
BR0-221309-04411,1,,上部構造(主桁、横桁),,,,2,,,,image1.png
BR0-221309-04411,2,,上部構造(床版),,,,2,,,,image2.png
BR0-221309-04411,3,,下部構造(A1側),,,,3,,,,image3.png
BR0-221309-04411,4,,下部構造(A2側),,,,3,,,,image4.png
BR0-221309-04493,0,,,,,,,,起点,終点,image1.jpg
BR0-221309-04620,0,,,,,,,,,,image1.jpg
BR0-221309-04620,1,,上部構造（主桁）,,,,3,,,,image2.jpg
